match_id;match_date;match_start_time;match_end_time;match_season;team_a_id;team_b_id;team_a_points;team_b_points
0;'20220312';'113000';'123000';0;0;1;50;100
1;'20220403';'102000';'114000';0;4;5;30;70
2;'20220510';'102000';'114000';0;3;7;20;80
3;'20220613';'131500';'143000';0;0;6;10;90
4;'20220720';'143000';'153000';1;1;2;35;65
5;'20220810';'090500';'112000';1;2;8;60;40
6;'20220906';'102000';'112000';1;3;6;90;10
7;'20221010';'112000';'124000';2;5;8;65;35
8;'20221104';'102000';'114000';2;0;2;55;45
9;'20221203';'143000';'153000';2;1;7;13;87
10;'20230120';'091000';'102000';3;2;6;93;7
11;'20230213';'112000';'124000';3;0;8;29;71
12;'20230319';'131500';'143000';3;4;7;45;55
13;'20230410';'101500';'114000';3;3;4;80;20
14;'20230516';'123000';'141000';4;3;8;38;62
15;'20230617';'102000';'114000';4;2;5;50;50
16;'20230718';'102000';'114000';5;1;4;70;30
17;'20230825';'091000';'104000';5;7;8;20;80
18;'20230921';'121000';'133000';6;3;5;40;60
